Ville,Titre,Lien,Description,Prix_de_vente,Localisation,Prix_m2,Surface_m2,type,Pieces,Chambres,Garage,Balcon,Ascenseur,Terrain_m2,DPE
paris-75,Appartement - 2 pièce(s) - 39 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286857248A1KIVHAP000,2 piéces de 39 m2 traversant bien proportionnée donnant sur cour et grand jardin avec vue dégagé sur tour eiffel. ( calme et pas de vis à vis) charme de l'ancien avec tommettes & moulures 2e étage. le grand jardin est accessible aux...,409500.0,Paris 15  (75015),10500.0,39.0,Appartement,2,1,0,0,0,,G
paris-75,Immeuble - 60 m²,https://www.paruvendu.fr/immobilier/vente/immeuble/1286848673A1KIVHIM000,"à vendre : chocolaterie sous franchise située dans le 20ème arrondissement de paris, rue commerçante proche de la place gambetta. boutique de 30 m² avec 30 m² de réserve, bon chiffre d'affaires, pas de salarié en cdi . ouverture 5 jours/semaine +...",260000.0,Paris 20  (75020),4333.0,60.0,Immeuble,,,0,0,0,,
paris-75,Parking / Garage - 15 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286796741A1KIVHPK000,"Vends, un emplacement de parking au 2ème sous sol dans un immeuble sécurisé les charges sont de 71,60 par trimestre il se trouve rue du faubourg saint martin 75010 métro louis blanc emplacement numéro 12 taxe foncière 187  wi176468085 vente...",15500.0,Paris 10  (75010),1033.0,15.0,Parking / Garage,,,0,0,0,,
paris-75,Parking / Garage - 12 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286792852A1KIVHPK000,Place de parking situé au 96 rue de la fontaine au roi au 3ème sous-sol. accès facile. wi176467079 vente immobilier parking / garage paris 11 parking / garage 12 m²,18000.0,Paris 11  (75011),1500.0,12.0,Parking / Garage,,,0,0,0,,
paris-75,Parking / Garage - 12 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286643992A1KIVHPK000,"Place de parking au 1er sous sol pour voiture familiale, combi ww, ou trafic accès et manoeuvres facile dans immeuble récent possibilité de borne zeplug pour voiture électrique intersection popincourt sedaine wi176400107 vente immobilier...",24000.0,Paris 11  (75011),2000.0,12.0,Parking / Garage,,,0,0,0,,
paris-75,Maison - 10 pièce(s) - 290 m²,https://www.paruvendu.fr/immobilier/vente/maison/1286728049A1KIVHMN000,"Merci de bien lire l'annonce. il s'agit d'un bien situé dans le secteur haute corrèze sud creuse 20 kms d'ussel et 1 heure des pistes de ski du mont-dore. dans une commune avec toutes les commodités (boulangerie, tabac, coiffeur, pharmacie,...",250000.0,Paris 7  (75007),862.0,290.0,Maison,10,7,0,0,0,225.0,
paris-75,Appartement - 2 pièce(s) - 28 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286721145A1KIVHAP000,"Situé des grands champs à paris, à proximité de nation et vincennes, l'appartement est lumineux et offre un cadre de vie pratique et agréable, dans un secteur vivant et bien desservi. situé au 2ème étage avec ascenseur d'un immeuble bien...",285000.0,Paris 20  (75020),10179.0,28.0,Appartement,2,1,0,1,0,,
paris-75,Appartement - 4 pièce(s) - 83 m²,https://www.paruvendu.fr/immobilier/prestige/appartement/1286712020A1KIVHAP000,"Appartement traversant situé au 4ème étage (sans ascenseur), d'un immeuble pdt au 70 rue louis blanc, près du métro la chapelle. complètement rénové, il dispose d'une entrée/couloir qui dessert toutes les pièces en étoile: salon/salle à manger...",740000.0,Paris 10  (75010),8916.0,83.0,Appartement,4,3,0,0,0,,E
paris-75,Parking / Garage - 4 m²,https://www.paruvendu.fr/immobilier/vente/parking-garage/1286681356A1KIVHPK000,"Cherchant à constituer un apport pour un projet immobilier, j'arbitre actuellement certains de mes investissements dans des caves en location, en commençant par celles situées le plus loin de mon domicile. je mets ainsi en vente une cave de 3,5...",11500.0,Paris 12  (75012),,4.0,Parking / Garage,,,0,0,0,,
paris-75,Appartement - 1 pièce(s) - 23 m²,https://www.paruvendu.fr/immobilier/vente/appartement/1286628583A1KIVHAP000,"Située dans un bel immeuble du 6e arrondissement, cette chambre de bonne entièrement rénovée offre 23m² optimisés avec goût et confort. vous y trouverez : ? une pièce de vie lumineuse, calme et bien agencée ? une kitchenette moderne équipée...",385000.0,Paris 6  (75006),16739.0,23.0,Appartement,1,,0,0,0,,
